t,alcohol,bluelight,intensity,peak_count,sleepquality,sports,stress,work
2017-03-13,0,2,985.7708333333334,4.6155325491201635,1,1,1,0
2017-03-14,0,1,388.1041666666667,3.6571428571428566,2,1,0,6
2017-03-15,0,2,239.29861111111111,3.2432432432432434,2,1,1,7
2017-03-16,0,2,940.4097222222222,3.283018867924528,1,1,1,8
2017-03-17,0,2,1052.486111111111,4.451612903225806,3,1,0,8
2017-03-18,0,2,211.93055555555554,3.6614306701322183,2,1,1,4
2017-03-19,1,2,434.7916666666667,1.67427701674277,3,1,0,3
2017-03-20,0,1,442.1875,3.864406779661017,2,1,0,1
2017-03-21,0,2,1091.2222222222222,3.1765743978561387,1,1,1,7
2017-03-22,0,2,249.81944444444446,2.1802636266476663,1,1,0,0
2017-03-23,1,2,540.4305555555555,3.1092413562533086,3,1,0,5
2017-03-24,2,1,1103.1527777777778,2.100350058343057,0,1,0,1
2017-03-25,3,0,1036.2291666666667,2.6037735849056602,1,1,0,1
2017-03-26,0,2,531.5,2.933333333333333,2,1,0,0
2017-03-27,1,2,782.5289855072464,3.0329670329670333,2,1,0,2
2017-03-28,0,2,1154.5277777777778,2.640352046939592,1,1,1,7
2017-03-29,0,2,1186.4791666666667,1.764705882352941,2,1,1,7
2017-03-04,0,1,230.34722222222223,2.8604346271502923,3,1,1,4
2017-03-06,0,1,892.3888888888889,1.208729714605484,2,1,1,2
2017-03-07,1,2,953.0694444444445,3.0914555603263203,3,1,1,2
2017-03-08,0,3,197.16666666666666,1.8985339099251135,3,1,1,5
2017-03-09,0,3,411.006993006993,2.5822905873914084,2,1,1,6
2017-03-15,0,3,239.29861111111111,4.267615025561236,3,1,0,1
2017-03-16,0,3,940.4097222222222,3.36033603360336,3,1,0,2
2017-03-17,0,3,1052.486111111111,4.092109122909944,2,1,0,0
2017-03-18,0,3,211.93055555555554,3.184431667403804,2,1,1,0
2017-03-19,0,3,434.7916666666667,2.284519765575423,3,0,0,0
2017-03-20,0,3,442.1875,1.7543859649122806,3,0,0,0
2017-03-21,1,2,1091.2222222222222,2.014056435539704,2,1,0,4
2017-03-22,0,3,249.81944444444446,0.9474930911962101,3,1,0,6
2017-03-23,0,3,540.4305555555555,2.1712907117008444,3,1,1,5
2017-03-24,0,3,1103.1527777777778,2.307988203615848,3,1,0,0
2017-03-25,2,1,1036.2291666666667,1.1816451125845202,1,1,0,0
2017-03-26,3,1,531.5,2.9277813923227063,2,1,0,0
2017-03-27,0,3,782.5289855072464,1.765704584040747,3,1,0,0
2017-03-28,0,3,1154.5277777777778,1.8752663730643557,2,1,0,2
2017-03-29,0,3,1186.4791666666667,2.2868605817452354,1,1,0,4
2017-03-30,0,3,1168.2222222222222,2.132701421800948,2,1,1,5
2017-03-31,0,3,1312.9930555555557,1.4458411984417043,3,1,1,0
2017-04-01,0,3,877.4166666666666,1.4077897700610043,3,1,0,0
2017-03-04,0,3,230.34722222222223,1.3333333333333333,1,1,1,4
2017-03-05,3,2,420.30555555555554,1.7606064311040468,2,1,0,0
2017-03-06,0,3,892.3888888888889,1.4,2,1,1,0
2017-03-07,0,2,953.0694444444445,0.5943781731126428,2,1,1,1
2017-03-08,1,2,197.16666666666666,1.3763806287170774,2,1,0,2
2017-03-11,0,2,692.9652777777778,1.1413273214034099,1,0,1,5
2017-03-13,0,2,985.7708333333334,1.9569944431021984,3,1,1,1
2017-03-14,0,2,388.1041666666667,1.4287982219399906,1,1,1,0
2017-03-15,0,2,239.29861111111111,4.572991987492671,1,1,0,3
2017-03-16,0,2,940.4097222222222,2.3156916699424652,2,0,1,3
2017-03-17,0,2,1052.486111111111,3.5294117647058822,2,0,1,3
2017-03-18,0,2,211.93055555555554,1.980952380952381,2,0,1,5
2017-03-19,0,2,434.7916666666667,2.4634334103156275,3,1,0,0
2017-03-20,0,2,442.1875,2.552797903499306,3,0,1,2
2017-03-21,0,2,1091.2222222222222,1.5058561070831011,3,0,1,5
2017-03-22,0,2,249.81944444444446,3.5925155925155927,2,1,1,3
2017-03-23,0,2,540.4305555555555,1.5515755195862466,2,1,1,4
2017-03-24,0,2,1103.1527777777778,3.8666666666666667,2,0,1,5
2017-03-25,1,2,1036.2291666666667,1.723673579315917,2,0,0,5
2017-03-26,2,2,531.5,3.922789539227895,1,0,1,2
2017-03-27,0,2,782.5289855072464,3.5532847562922756,2,1,1,2
2017-03-28,0,2,1154.5277777777778,1.7206650506981664,3,0,1,2
2017-03-29,0,1,1186.4791666666667,3.036144578313253,2,1,1,4
2017-03-30,0,2,1168.2222222222222,1.8006925740669488,3,0,1,5
2017-03-31,0,2,1312.9930555555557,4.731078121197371,2,0,2,2
2017-04-01,0,2,877.4166666666666,3.081875149813375,2,0,1,1
2017-03-06,2,1,892.3888888888889,2.8043623414199867,2,1,2,10
2017-03-07,0,2,953.0694444444445,2.837365499280378,2,1,1,5
2017-03-09,1,2,411.006993006993,3.8542310067943175,2,0,1,4
2017-03-10,0,3,467.625,3.3119944800092,1,1,2,7
2017-03-13,2,2,985.7708333333334,2.0840224942110486,3,1,0,1
2017-03-14,0,2,388.1041666666667,2.8443508032657356,2,1,2,6
2017-03-16,0,2,940.4097222222222,4.2585224217657816,2,0,2,6
2017-03-20,0,2,442.1875,3.6591777364971434,2,0,1,5
2017-03-21,0,3,1091.2222222222222,2.6933507902366034,1,1,2,6
2017-03-22,1,2,249.81944444444446,1.4449796220822524,1,1,2,10
2017-03-27,1,1,782.5289855072464,3.3069098084577955,2,1,1,0
2017-03-29,1,1,1186.4791666666667,2.959524154939794,1,1,2,7
2017-03-30,0,2,1168.2222222222222,2.9644046861548827,1,0,2,6
2017-03-31,0,2,1312.9930555555557,3.004694835680751,1,1,2,13
2017-03-07,0,3,953.0694444444445,0.9913713970993205,2,1,1,4
2017-03-08,0,1,197.16666666666666,2.400470680525593,2,1,1,5
2017-03-10,2,1,467.625,3.180978391838702,2,1,1,6
2017-03-11,0,1,692.9652777777778,2.3497887251365555,2,1,1,7
2017-03-13,0,1,985.7708333333334,3.867595818815331,2,1,0,0
2017-03-14,0,1,388.1041666666667,2.336524419925361,2,1,1,5
2017-03-16,0,1,940.4097222222222,3.0009377930603316,1,0,0,4
2017-03-19,0,1,434.7916666666667,3.3625354290131404,3,1,0,2
2017-03-20,0,1,442.1875,3.814457263951024,2,1,0,1
2017-03-21,0,1,1091.2222222222222,4.329896907216495,2,1,0,4
2017-03-22,0,1,249.81944444444446,3.804034582132565,1,1,0,4
2017-03-24,0,1,1103.1527777777778,4.368248003757633,2,1,0,2
2017-03-25,0,1,1036.2291666666667,2.3478260869565215,3,0,1,5
2017-03-26,0,1,531.5,2.558006067065672,2,1,0,3
2017-03-28,0,1,1154.5277777777778,3.1649510971097845,1,0,0,5
2017-03-29,0,1,1186.4791666666667,3.7419354838709675,2,0,0,5
2017-04-02,3,1,281.52777777777777,3.8545484495325946,2,1,0,2
2017-03-05,0,1,420.30555555555554,3.64072215147202,2,1,0,5
2017-03-06,0,1,892.3888888888889,4.2439960928289935,2,0,0,5
2017-03-08,0,1,197.16666666666666,4.181818181818182,2,0,2,8
2017-03-09,0,1,411.006993006993,2.1370269601780856,1,1,0,8
2017-03-10,0,2,467.625,2.6394644564870893,2,0,1,6
2017-03-12,0,0,913.9930555555555,4.233721218123297,2,0,1,4
2017-03-14,0,2,388.1041666666667,1.588235294117647,2,0,1,5
2017-03-15,0,1,239.29861111111111,2.286077155103985,2,0,2,7
2017-03-17,0,1,1052.486111111111,2.6701829569803857,2,0,2,11
2017-03-20,0,1,442.1875,3.375703271514899,2,0,2,4
2017-03-21,0,2,1091.2222222222222,1.9537224332724852,1,0,2,6
2017-03-22,0,2,249.81944444444446,3.151444412022177,1,0,2,8
2017-03-24,0,1,1103.1527777777778,1.8609994256174611,2,0,1,2
2017-03-26,0,1,531.5,3.090590123548953,2,0,0,2
2017-03-27,0,1,782.5289855072464,3.0020847810979845,1,1,0,5
2017-03-29,0,1,1186.4791666666667,2.5022010101478154,1,0,1,7
2017-03-30,0,3,1168.2222222222222,2.940575862773126,1,0,0,8
2017-03-06,0,2,892.3888888888889,2.9337679656245372,2,1,0,2
2017-03-07,0,3,953.0694444444445,4.4167908158794145,1,0,2,2
2017-03-09,0,2,411.006993006993,3.186780761286515,2,0,1,2
2017-03-14,0,1,388.1041666666667,2.4206562668101133,2,1,1,1
2017-03-05,3,0,420.30555555555554,3.294117647058823,0,0,1,0
2017-03-06,3,2,892.3888888888889,3.3717250980888496,2,1,0,0
2017-03-07,1,2,953.0694444444445,4.435264702685075,2,0,1,10
2017-03-08,0,2,197.16666666666666,3.25,2,1,1,8
2017-03-09,0,2,411.006993006993,3.125,2,0,1,7
2017-03-10,1,1,467.625,4.777297628364353,2,0,1,7
2017-03-11,3,1,692.9652777777778,1.858291675722669,2,1,0,3
2017-03-12,0,2,913.9930555555555,2.1118280897835686,2,0,0,4
2017-03-13,1,2,985.7708333333334,3.113994439295644,2,0,1,4
2017-03-14,1,2,388.1041666666667,3.077186084280708,1,1,1,11
2017-03-15,2,2,239.29861111111111,3.251015942482026,2,0,0,6
2017-03-16,1,1,940.4097222222222,2.742857142857143,2,1,2,8
2017-03-17,3,1,1052.486111111111,1.3389743828164955,0,1,0,2
2017-03-18,3,1,211.93055555555554,2.0202020202020203,0,1,0,0
2017-03-19,2,2,434.7916666666667,3.4287528440658237,1,1,2,0
2017-03-20,2,1,442.1875,3.0526315789473686,3,0,1,2
2017-03-21,0,1,1091.2222222222222,4.040816326530612,3,1,1,11
2017-03-22,0,2,249.81944444444446,2.891566265060241,2,0,2,11
2017-03-23,1,1,540.4305555555555,4.770453962554502,3,0,2,16
2017-03-24,3,1,1103.1527777777778,3.9230769230769225,1,1,1,7
2017-03-26,3,1,531.5,1.391734642594812,0,0,0,5
2017-03-27,0,2,782.5289855072464,2.3585467540202503,2,1,0,0
2017-03-28,0,1,1154.5277777777778,2.5072394706938894,2,1,2,10
2017-03-31,0,2,1312.9930555555557,3.575736076622916,1,0,1,10
2017-04-01,2,1,877.4166666666666,3.4444444444444438,2,0,1,3
2017-03-07,0,3,953.0694444444445,1.5011941316956672,3,1,1,10
2017-03-08,0,3,197.16666666666666,2.217391304347826,2,1,1,9
2017-03-09,1,1,411.006993006993,2.726803236357376,2,0,1,8
2017-03-10,1,3,467.625,1.3521126760563378,3,1,1,10
2017-03-11,1,1,692.9652777777778,3.7658134745513383,3,0,1,8
2017-03-12,1,3,913.9930555555555,1.2583892617449666,3,1,0,0
2017-03-13,0,1,985.7708333333334,1.333962137034292,2,0,1,2
2017-03-15,0,2,239.29861111111111,2.451898518644645,2,0,1,8
2017-03-16,0,1,940.4097222222222,2.7412161427172848,3,0,1,8
2017-03-17,0,3,1052.486111111111,2.2894521668029437,3,1,1,10
2017-03-19,1,1,434.7916666666667,1.7308385752634319,3,1,1,4
2017-03-20,0,3,442.1875,3.375,2,0,1,0
2017-03-21,0,3,1091.2222222222222,2.6040231468724166,2,1,1,12
2017-03-22,0,3,249.81944444444446,2.423090628340658,1,0,1,8
2017-03-25,2,1,1036.2291666666667,1.7479364638967885,2,1,1,8
2017-03-26,1,2,531.5,3.030830865702839,1,1,1,4
2017-03-28,0,3,1154.5277777777778,1.8251306450354887,2,1,1,10
2017-03-29,0,3,1186.4791666666667,1.1276429130775254,2,1,1,15
2017-04-02,2,3,281.52777777777777,1.193633952254642,2,1,1,8
2017-03-06,0,1,892.3888888888889,3.1049611879851504,2,1,1,6
2017-03-08,0,1,197.16666666666666,2.857256240326997,1,1,2,10
2017-03-09,0,1,411.006993006993,2.0028612303290414,1,1,1,10
2017-03-10,0,1,467.625,2.7522935779816513,1,1,2,12
2017-03-12,2,1,913.9930555555555,4.098618090452261,0,1,0,3
2017-03-13,0,1,985.7708333333334,2.58105632119812,1,1,1,10
2017-04-02,0,1,281.52777777777777,2.352374729167383,2,1,1,9
2017-03-04,3,0,230.34722222222223,2.4822139342464036,2,1,0,4
2017-03-06,0,1,892.3888888888889,1.3646702047005308,1,0,1,5
2017-03-07,0,1,953.0694444444445,1.0202016112707988,0,0,1,5
2017-03-08,0,1,197.16666666666666,3.6667798388839157,2,1,0,4
2017-03-09,0,0,411.006993006993,3.0307428803669407,2,1,1,9
2017-03-10,0,0,467.625,2.8,2,0,1,6
2017-03-13,0,1,985.7708333333334,2.618181818181818,2,1,1,0
2017-03-14,0,0,388.1041666666667,3.198141251238596,1,1,1,0
2017-03-15,0,1,239.29861111111111,3.3524587701643185,2,1,0,0
2017-03-17,0,1,1052.486111111111,3.2878714076960547,2,1,0,5
2017-03-20,0,1,442.1875,2.7071209049892104,2,1,2,0
2017-03-22,0,2,249.81944444444446,2.9123268277884518,0,1,2,8
2017-03-24,0,0,1103.1527777777778,2.5819672131147535,1,0,0,0
2017-03-26,0,2,531.5,2.624167522613565,1,1,1,0
2017-03-29,0,2,1186.4791666666667,3.75130253560264,1,1,1,4
2017-03-31,0,1,1312.9930555555557,1.233414315081293,2,1,0,5
2017-03-05,0,1,420.30555555555554,3.4444444444444438,2,1,1,0
2017-03-06,0,2,892.3888888888889,3.6263850776338185,2,0,2,1
2017-03-07,0,2,953.0694444444445,2.28,2,1,2,6
2017-03-08,0,2,197.16666666666666,2.297872340425532,2,1,2,5
2017-03-09,0,2,411.006993006993,3.530565544295521,2,0,2,5
2017-03-10,0,1,467.625,3.2280047344069436,2,1,1,4
2017-03-12,0,1,913.9930555555555,1.3714285714285712,1,0,0,1
2017-03-13,0,1,985.7708333333334,1.5172995133913176,0,1,2,1
2017-03-19,0,1,434.7916666666667,4.298065047344586,1,0,1,2
2017-03-20,0,2,442.1875,2.126255081124275,1,1,0,3
2017-03-23,0,3,540.4305555555555,3.0028151391929936,2,1,0,5
2017-03-24,0,2,1103.1527777777778,1.5486091195870375,1,0,1,4
2017-03-25,0,2,1036.2291666666667,2.402975112043482,2,0,1,3
2017-03-27,0,1,782.5289855072464,1.467645096731154,1,0,0,2
2017-03-28,0,2,1154.5277777777778,1.489212753770763,1,0,1,2
2017-03-29,0,3,1186.4791666666667,2.479518596389473,1,0,1,4
2017-03-31,0,3,1312.9930555555557,3.001667593107282,1,1,2,3
2017-04-01,0,3,877.4166666666666,1.9726027397260275,0,1,1,6
2017-04-02,0,3,281.52777777777777,2.9008863819500403,1,1,0,0